years,numWells,irriWells,livestockWells,domesticWells
1900,0,0,0,0
1901,4,3,0,1
1902,4,3,0,1
1903,7,6,0,1
1904,7,6,0,1
1905,7,6,0,1
1906,8,6,1,1
1907,8,6,1,1
1908,8,6,1,1
1909,10,6,2,1
1910,10,6,2,1
1911,15,9,3,2
1912,16,10,3,2
1913,17,11,3,2
1914,22,15,4,2
1915,29,22,4,2
1916,31,24,4,2
1917,33,26,4,2
1918,38,30,4,3
1919,42,34,4,3
1920,46,38,4,3
1921,71,61,4,5
1922,77,67,4,5
1923,82,72,4,5
1924,91,81,4,5
1925,97,87,4,5
1926,127,117,4,5
1927,148,137,4,6
1928,187,174,5,6
1929,234,221,5,6
1930,286,272,5,6
1931,361,342,7,7
1932,385,365,8,7
1933,443,423,8,7
1934,488,468,8,7
1935,603,580,10,8
1936,763,738,10,9
1937,941,912,12,9
1938,1200,1169,14,9
1939,1491,1457,16,10
1940,1759,1720,19,11
1941,2358,2301,25,17
1942,2831,2771,25,18
1943,3215,3151,26,18
1944,3541,3473,28,19
1945,3980,3910,29,19
1946,4355,4280,31,20
1947,4939,4853,35,20
1948,5599,5507,36,20
1949,6392,6288,42,22
1950,6796,6685,44,24
1951,7377,7245,52,30
1952,7686,7545,54,30
1953,8141,7993,55,34
1954,9266,9088,63,37
1955,11505,11306,75,41
1956,14674,14439,98,46
1957,19760,19456,116,56
1958,23342,23013,129,57
1959,23916,23568,131,58
1960,24573,24203,136,59
1961,25285,24861,157,72
1962,26009,25557,167,73
1963,26499,25997,184,75
1964,27297,26777,184,78
1965,28680,28124,193,83
1966,30338,29739,202,92
1967,32281,31638,212,100
1968,34750,34065,227,107
1969,36951,36216,243,113
1970,38632,37859,258,119
1971,40816,39969,284,137
1972,43305,42424,292,145
1973,45718,44771,319,155
1974,48235,47217,354,165
1975,51951,50867,382,178
1976,56783,55609,426,189
1977,63348,62072,478,206
1978,67962,66590,518,229
1979,69842,68413,540,244
1980,72280,70793,557,252
1981,74718,73105,589,267
1982,77486,75808,613,284
1983,78482,76748,620,291
1984,79219,77412,641,300
1985,80095,78156,655,308
1986,80755,78593,662,315
1987,81201,78899,667,325
1988,81715,79206,672,334
1989,82796,79993,677,350
1990,84650,81340,707,361
1991,87013,82580,723,374
1992,89116,83597,746,398
1993,91238,84663,765,421
1994,94283,85198,986,774
1995,99613,85865,1858,2125
1996,103844,86759,2572,3479
1997,108587,88084,3378,5110
1998,113553,89399,4379,6931
1999,118558,90536,5209,8626
2000,123622,91239,6130,10532
2001,129561,92222,7200,12343
2002,135249,93384,8194,14141
2003,142636,95046,9387,16007
2004,150230,97295,10460,17998
2005,158369,99658,11744,19783
2006,165746,101634,13008,21410
2007,172577,102805,14314,22986
2008,177816,103888,15257,24330
2009,182624,104895,16149,25446
2010,187008,105624,16822,26383
2011,191440,106439,17551,27310
2012,196214,107627,18258,28262
2013,201566,109360,19260,29372
2014,206209,111412,20091,30199
Today,206210,111413,20091,30199
