date	wells
1900	3
1901	0
1902	3
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	3
1911	1
1912	1
1913	4
1914	7
1915	2
1916	2
1917	4
1918	4
1919	4
1920	23
1921	6
1922	5
1923	9
1924	6
1925	30
1926	20
1927	37
1928	47
1929	51
1930	70
1931	23
1932	58
1933	45
1934	112
1935	158
1936	174
1937	257
1938	288
1939	263
1940	581
1941	470
1942	380
1943	322
1944	437
1945	370
1946	573
1947	654
1948	781
1949	397
1950	560
1951	300
1952	448
1953	1095
1954	2218
1955	3133
1956	5017
1957	3557
1958	555
1959	635
1960	658
1961	696
1962	440
1963	780
1964	1347
1965	1615
1966	1899
1967	2427
1968	2151
1969	1643
1970	2110
1971	2455
1972	2347
1973	2446
1974	3650
1975	4742
1976	6463
1977	4518
1978	1823
1979	2380
1980	2312
1981	2703
1982	940
1983	664
1984	744
1985	437
1986	306
1987	307
1988	787
1989	1347
1990	1240
1991	1017
1992	1066
1993	535
1994	667
1995	894
1996	1325
1997	1315
1998	1137
1999	703
2000	983
2001	1162
2002	1662
2003	2249
2004	2363
2005	1976
2006	1171
2007	1083
2008	1007
2009	729
2010	815
2011	1188
2012	1733
2013	2052
